LAMMPS data file via write_data, version 29 Oct 2020, timestep = 0

72 atoms
21 1 21 0.1259 -1.5145879999999998 -2.1828220000000003 -0.6858275 0 0 0
22 1 22 0.0886 -0.6371579999999994 -4.908462000000001 1.2973725 0 0 0
23 1 23 0.0886 -1.616727 -4.379449000000001 -0.10635250000000002 0 0 0
24 1 24 0.0982 -2.6249849999999997 -4.4568010000000005 2.7574945 0 0 0
25 1 25 0.0982 -3.0322889999999996 -5.6109420000000005 1.4620214999999999 0 0 0
26 1 26 0.0982 -3.5321749999999996 -3.90539 1.3548004999999999 0 0 0
27 1 27 0.1436 -1.0282099999999996 -0.4010780000000005 1.7600985 0 0 0
28 1 28 0.4398 0.4992850000000004 0.3938429999999995 0.15027850000000004 0 0 0
29 1 29 0.1655 -3.423987 0.9833279999999995 1.2878945 0 0 0
30 1 30 0.0885 -4.6617619999999995 2.024066999999999 -0.5747075 0 0 0
31 1 31 0.0885 -3.4705399999999997 1.4252179999999994 -1.7333725 0 0 0
32 1 32 0.0744 -4.326407 4.264778 -1.0389825 0 0 0
33 1 33 0.0744 -3.26477 3.7434419999999995 -2.3774945 0 0 0
34 1 34 0.0955 -2.4384719999999995 5.531472999999999 -0.030728499999999992 0 0 0
35 1 35 0.0955 -2.740194 6.080941999999999 -1.6961055 0 0 0
36 1 36 0.0955 -1.36829 5.005198999999999 -1.3257585 0 0 0
37 2 1 -0.6817 -0.12852500000000067 -1.0186900000000003 -0.17339350000000003 0 0 0
38 2 2 0.114 1.2739829999999994 -1.1069370000000003 -0.4830815 0 0 0
39 2 3 0.0994 1.8934670000000002 -2.3226870000000006 0.20469949999999998 0 0 0
40 2 4 -0.6923 1.214531 -3.4837940000000005 -0.32107650000000004 0 0 0
41 2 5 -0.0333 3.4193879999999988 -2.3878760000000003 -0.021397500000000014 0 0 0
42 2 6 -0.405 4.060087 -3.3571660000000003 0.8489804999999999 0 0 0
43 2 7 0.0059 3.707777000000001 -4.713358 0.5817365000000001 0 0 0
44 2 8 -0.2477 2.4141529999999998 -5.0496430000000005 1.2982675 0 0 0
45 2 9 0.2482 4.053562 -1.0114550000000004 0.2942145 0 0 0
46 2 10 -0.6054 5.402017999999999 -1.0186900000000003 -0.17339350000000003 0 0 0
47 2 11 -0.3168 3.3997210000000004 0.08344099999999965 -0.3224155 0 0 0
48 2 12 0.076 1.9907659999999998 0.19448099999999968 -0.10717150000000003 0 0 0
49 2 13 -0.0145 1.5397589999999992 1.3019429999999999 -1.0819095 0 0 0
50 2 14 -0.3661 2.3360969999999996 2.4771310000000004 -0.9045915 0 0 0
51 2 15 0.0105 1.852956999999999 3.557332 -1.6996725 0 0 0
52 2 16 -0.2446 2.7357690000000003 4.765592 -1.4645615 0 0 0
53 2 17 0.4161 -0.4992850000000004 -0.37630100000000044 -0.8088305 0 0 0
54 2 18 0.1151 1.3314639999999995 -1.2706950000000004 -1.5654345 0 0 0
55 2 19 0.1524 1.6834119999999997 -2.3037820000000004 1.2804285 0 0 0
56 2 20 0.411 1.7086549999999994 -3.7780810000000007 -1.1071165 0 0 0
57 2 21 0.1259 3.6322789999999996 -2.652822 -1.0658275 0 0 0
58 2 22 0.0886 4.509709 -5.378462000000001 0.9173725000000001 0 0 0
59 2 23 0.0886 3.5301400000000003 -4.849449000000001 -0.4863525 0 0 0
60 2 24 0.0982 2.521881999999999 -4.926801 2.3774945 0 0 0
61 2 25 0.0982 2.114577999999999 -6.080942 1.0820215 0 0 0
62 2 26 0.0982 1.614691999999999 -4.37539 0.9748005 0 0 0
63 2 27 0.1436 4.118657 -0.8710780000000005 1.3800985000000001 0 0 0
64 2 28 0.4398 5.646152 -0.07615700000000047 -0.22972149999999997 0 0 0
65 2 29 0.1655 1.722879999999999 0.5133279999999998 0.9078945 0 0 0
66 2 30 0.0885 0.4851049999999999 1.5540669999999992 -0.9547075 0 0 0
67 2 31 0.0885 1.6763269999999997 0.9552179999999997 -2.1133724999999997 0 0 0
68 2 32 0.0744 0.8204599999999997 3.7947780000000004 -1.4189825 0 0 0
