# Time-averaged data for fix st
# TimeStep v_st
34200 62.3406
34250 -36.6341
34300 256.279
34350 159.162
34400 159.825
34450 119.88
34500 176.41
34550 14.2068
34600 79.1159
34650 -11.4108
34700 144.511
34750 308.868
34800 221.731
34850 149.833
34900 194.02
34950 93.6548
35000 194.68
35050 243.149
35100 71.4031
35150 185.733
35200 242.553
35250 367.549
35300 163.363
35350 36.7382
35400 -156.149
35450 -24.6534
35500 64.1997
35550 232.622
35600 113.393
35650 115.468
35700 195.522
35750 135.871
35800 208.391
35850 96.579
35900 80.1194
35950 93.4481
36000 -54.2361
36050 -85.1851
36100 233.059
36150 238.921
36200 97.0753
36250 271.9
36300 45.2335
36350 -11.2203
36400 -213.301
36450 -12.3987
36500 55.5145
36550 242.241
36600 98.5508
36650 36.4524
36700 80.5571
36750 101.875
36800 162.139
36850 69.0084
36900 109.078
36950 39.1124
37000 19.6575
37050 119.454
37100 149.901
37150 98.9036
37200 14.3779
37250 41.3626
37300 170.074
37350 50.6841
37400 106.902
37450 -101.523
37500 31.3941
37550 284.731
37600 75.3486
37650 70.9296
37700 -76.346
37750 132.582
37800 128.823
37850 -5.74184
37900 122.664
37950 23.3882
38000 149.133
38050 47.4081
38100 -299.109
38150 -93.0005
38200 88.4014
38250 366.741
38300 131.921
38350 -4.76631
38400 14.167
38450 142.739
38500 149.192
38550 179.042
38600 17.1433
38650 29.4032
38700 309.24
38750 213.097
38800 139.288
38850 -32.9155
38900 205.526
38950 105.396
39000 21.1126
39050 15.7604
39100 37.2883
39150 219.636
39200 74.1261
39250 176.09
39300 47.5455
39350 -64.2122
39400 37.6213
39450 102.299
39500 118.917
39550 194.532
39600 95.2294
39650 127.308
39700 53.0823
39750 25.2386
39800 -110.495
39850 39.5008
39900 -47.6046
39950 -17.4339
40000 51.869
40050 -34.3304
40100 161.256
40150 128.887
40200 -142.372
40250 -158.54
40300 -32.8817
40350 31.9741
40400 46.2268
40450 22.054
40500 156.239
40550 49.4843
40600 268.908
40650 267.081
40700 113.34
40750 -29.3528
40800 -38.7451
40850 -125.023
40900 -4.2842
40950 49.7699
41000 5.90416
41050 117.758
41100 133.169
41150 71.2451
41200 47.2935
41250 168.823
41300 195.268
41350 229.381
41400 81.8802
41450 -106.979
41500 116.166
41550 207.031
41600 35.4406
41650 162.138
41700 153.57
41750 191.071
41800 344.903
41850 313.117
41900 144.129
41950 56.1529
42000 -49.0394
42050 315.019
42100 197.327
42150 86.1471
42200 95.2051
42250 -57.2408
42300 39.469
42350 86.2417
42400 123.751
42450 -78.6014
42500 -7.7294
42550 -59.8004
42600 103.149
42650 36.6997
42700 161.027
42750 77.9156
42800 -72.7205
42850 -69.8049
42900 17.3077
42950 93.3757
43000 23.9639
43050 100.125
43100 216.772
43150 122.604
43200 130.856
43250 -152.736
43300 -35.3132
43350 172.868
43400 181.394
43450 129.972
43500 103.803
43550 69.4858
43600 -21.5916
43650 -120.796
43700 41.9063
43750 10.2934
43800 39.6944
43850 343.544
43900 178.404
43950 40.6258
44000 -213.584
44050 15.6275
44100 26.5701
44150 -44.5579
44200 189.134
44250 162.426
44300 50.0562
44350 48.9473
44400 118.884
44450 21.7793
44500 -30.1238
44550 -3.19553
44600 13.9223
44650 133.821
44700 118.222
44750 135.519
44800 -201.387
44850 -65.5098
44900 -66.5177
44950 163.057
45000 266.058
45050 31.7304
45100 66.2543
45150 118.478
45200 -10.6892
45250 293.768
45300 68.7166
45350 67.2829
45400 -89.147
45450 277.976
45500 224.141
45550 75.8367
45600 -152.066
45650 -127.032
45700 172.403
45750 89.0221
45800 210.238
45850 124.766
45900 144.323
45950 -88.0059
46000 -18.4192
46050 10.4697
46100 -15.2426
46150 118.033
46200 -49.5695
46250 53.2185
46300 93.1201
46350 218.296
46400 141.266
46450 207.29
46500 -98.6193
46550 -170.606
46600 -110.574
46650 25.2287
46700 -60.084
46750 -95.2013
46800 -95.9534
46850 -139.314
46900 35.2157
46950 188.525
47000 -130.338
47050 -70.1311
47100 -230.574
47150 3.98955
47200 -51.0878
47250 11.4349
47300 -45.2734
47350 -70.2619
47400 -15.113
47450 173.793
47500 206.266
47550 401.528
47600 253.331
47650 9.5018
47700 -73.7956
47750 49.9925
47800 11.3427
47850 91.6846
47900 -32.2399
47950 -15.3061
48000 -157.075
48050 60.2218
48100 -56.4972
48150 172.818
48200 35.3405
48250 -142.616
48300 -100.21
48350 -87.1451
48400 256.906
48450 170.101
48500 225.204
48550 -26.6563
48600 12.53
48650 -14.0643
48700 160.835
48750 37.9204
48800 157.658
48850 -4.57792
48900 -57.6464
48950 -18.0758
49000 178.104
49050 -6.158
49100 40.107
49150 -65.3041
49200 45.5346
49250 41.4452
49300 107.842
49350 60.0876
49400 -19.477
49450 -111.053
49500 -52.3965
49550 -9.82365
49600 -32.6629
49650 148.457
49700 -135.71
49750 98.7277
49800 216.164
49850 -72.8427
49900 54.8067
49950 66.5572
50000 330.403
50050 282.864
50100 163.273
50150 -104.7
50200 -52.4238
50250 82.5898
50300 32.5709
50350 243.585
50400 20.0569
50450 -190.539
50500 -281.077
50550 -120.461
50600 121.538
50650 169.368
50700 36.0585
50750 87.5658
50800 -272.636
50850 -118.237
50900 37.9267
50950 -144.388
51000 -95.1013
51050 -99.68
51100 110.619
51150 -2.80078
51200 -110.305
51250 -188.25
51300 -188.575
51350 47.9516
51400 96.5275
51450 24.2568
51500 1.10382
51550 -108.294
51600 -28.7488
51650 -41.6978
51700 -79.0534
51750 76.813
51800 104.731
51850 42.7806
51900 6.05331
51950 -43.8466
52000 73.9212
52050 -19.6773
52100 -89.7386
52150 -86.766
52200 -26.3616
52250 108.182
52300 -9.39078
52350 -14.1049
52400 -95.5132
52450 -24.1998
52500 158.788
52550 85.9093
52600 107.471
52650 101.642
52700 67.5164
52750 -28.0174
52800 -176.236
52850 -34.9311
52900 16.8069
52950 94.9571
53000 310.601
53050 195.096
53100 214.281
53150 63.9689
53200 67.9521
53250 -132.452
53300 -66.4323
53350 58.9722
53400 -121.031
53450 -21.2329
53500 212.949
53550 77.4135
53600 -18.8372
53650 -130.688
53700 -129.293
53750 157.913
53800 218.403
53850 86.9445
53900 -39.1635
53950 -228.38
54000 -32.4608
54050 32.9227
54100 26.3799
54150 246.82
54200 18.2424
54250 -17.9914
54300 -59.1874
54350 -6.27076
54400 -13.0055
54450 3.32986
54500 86.0425
54550 -23.6622
54600 46.1149
54650 203.126
54700 -76.483
54750 94.6312
54800 310.13
54850 262.189
54900 215.467
54950 -57.9792
55000 6.90657
55050 60.6901
55100 50.9541
55150 342.817
55200 166.35
55250 -48.5714
55300 -197.097
55350 -1.57457
55400 -16.557
55450 -121.918
55500 -134.189
55550 -202.043
55600 -18.8457
55650 236.774
55700 187.53
55750 -147.822
55800 -201.558
55850 -68.9752
55900 9.58557
55950 -133.181
56000 -263.631
56050 -4.80184
56100 265.502
56150 192.193
56200 -120.104
56250 0.118502
56300 -80.3655
56350 -30.6787
56400 -46.9659
56450 314.67
56500 212.24
56550 196.105
56600 215.78
56650 -57.0976
56700 104.268
56750 109.365
56800 152.725
56850 225.578
56900 -52.3706
56950 26.9883
57000 104.37
57050 71.3693
57100 62.644
57150 106.423
57200 -97.0632
57250 -199.655
57300 11.4952
57350 203.595
57400 106.184
57450 44.2449
57500 18.0828
57550 103.901
57600 -81.2825
57650 -83.3824
57700 56.2107
57750 210.02
57800 209.449
57850 -70.1013
57900 33.5553
57950 22.519
58000 129.722
58050 -26.1352
58100 -85.8306
58150 4.59818
58200 -96.1539
58250 181.547
58300 -66.8624
58350 -10.0903
58400 98.4999
58450 82.3363
58500 195.849
58550 2.96098
58600 -192.455
58650 -12.024
58700 37.4342
58750 7.51433
58800 -99.1876
58850 5.69499
58900 60.9572
58950 62.298
59000 -37.4683
59050 5.36846
59100 260.958
59150 53.9711
59200 -28.6562
59250 -106.854
59300 22.655
59350 123.468
59400 -154.206
59450 120.313
59500 59.2276
59550 95.9772
59600 275.227
59650 232.11
59700 39.8168
59750 -60.8762
59800 -24.3432
59850 180.98
59900 39.969
59950 32.5417
60000 -91.7845
60050 26.7722
60100 142.302
60150 26.1797
60200 132.469
60250 25.5018
60300 -29.6889
60350 -53.6944
60400 70.5229
60450 78.6138
60500 168.468
60550 -90.1559
60600 -65.9944
60650 159.814
60700 2.06066
60750 -40.0545
60800 68.7769
60850 -53.0957
60900 202.825
60950 180.92
61000 -81.3298
61050 22.2311
61100 -25.297
61150 -100.719
61200 181.014
61250 231.7
61300 40.3901
61350 -241.122
61400 -191.781
61450 -11.1224
61500 8.54742
61550 44.9334
61600 -66.846
61650 -0.152554
61700 153.754
61750 46.9971
61800 -0.806277
61850 -144.592
61900 -138.834
61950 131.11
62000 209.998
62050 103.598
62100 0.459483
62150 1.04602
62200 -10.015
62250 50.744
62300 182.263
62350 -126.421
62400 -167.548
62450 -61.0872
62500 -130.104
62550 -7.60134
62600 315.379
62650 35.766
62700 129.516
62750 -12.455
62800 6.45991
62850 15.4278
62900 187.074
62950 -77.8966
63000 -15.2887
63050 82.8058
63100 61.4418
63150 -20.0452
63200 -98.0339
63250 -183.849
63300 -81.9765
63350 20.2356
63400 23.3309
