# Time-averaged data for fix strunning
# TimeStep v_st
31850 88.7645
31900 88.5837
31950 88.335
32000 88.2955
32050 88.3698
32100 88.3585
32150 88.1069
32200 87.7762
32250 87.4814
32300 87.1278
32350 87.1012
32400 87.0148
32450 87.082
32500 86.9998
32550 87.1359
32600 86.9021
32650 86.8788
32700 86.9564
32750 87.308
32800 87.4227
32850 87.5018
32900 87.7902
32950 87.6758
33000 87.6875
33050 87.9171
33100 88.001
33150 87.9773
33200 88.0456
33250 88.255
33300 88.5253
33350 88.534
33400 88.7939
33450 89.0375
33500 89.21
33550 89.1928
33600 89.5168
33650 89.4807
33700 89.5284
33750 89.7057
33800 89.7457
33850 89.7291
33900 89.6343
33950 89.7778
34000 89.7301
34050 89.7943
34100 90.061
34150 90.1738
34200 90.1054
34250 89.93
34300 90.1788
34350 90.3019
34400 90.3656
34450 90.4335
34500 90.5202
34550 90.3757
34600 90.3469
34650 90.243
34700 90.2628
34750 90.5879
34800 90.7308
34850 90.8249
34900 91.0323
34950 91.0706
35000 91.2479
35050 91.4584
35100 91.416
35150 91.5103
35200 91.7469
35250 92.1492
35300 92.2719
35350 92.2292
35400 91.9179
35450 91.7643
35500 91.7011
35550 91.8677
35600 91.9422
35650 91.9577
35700 92.0466
35750 92.0664
35800 92.2485
35850 92.2322
35900 92.2168
35950 92.2458
36000 92.0425
36050 91.7882
36100 92.008
36150 92.2142
36200 92.1924
36250 92.4449
36300 92.3768
36350 92.2425
36400 91.7916
36450 91.6781
36500 91.6167
36550 91.7897
36600 91.8742
36650 91.761
36700 91.7321
36750 91.7528
36800 91.8117
36850 91.7798
36900 91.7712
36950 91.702
37000 91.5649
37050 91.6072
37100 91.6675
37150 91.6166
37200 91.5463
37250 91.4853
37300 91.6046
37350 91.5716
37400 91.5717
37450 91.3293
37500 91.2398
37550 91.4587
37600 91.5532
37650 91.5359
37700 91.2917
37750 91.335
37800 91.3813
37850 91.2614
37900 91.2456
37950 91.1425
38000 91.215
38050 91.1908
38100 90.7025
38150 90.4845
38200 90.4291
38250 90.7866
38300 90.8534
38350 90.7706
38400 90.6583
38450 90.7476
38500 90.8613
38550 90.9575
38600 90.8858
38650 90.7914
38700 91.0563
38750 91.1773
38800 91.2529
38850 91.1129
38900 91.2023
38950 91.216
39000 91.1158
39050 91.0223
39100 90.9963
39150 91.1527
39200 91.1389
39250 91.2332
39300 91.1752
39350 90.9987
39400 90.961
39450 90.934
39500 90.9607
39550 91.0875
39600 91.068
39650 91.1506
39700 91.0567
39750 90.9944
39800 90.7801
39850 90.6988
39900 90.5342
39950 90.394
40000 90.3068
40050 90.1369
40100 90.2125
40150 90.2715
40200 90.0258
40250 89.7116
40300 89.5322
40350 89.4379
40400 89.387
40450 89.3109
40500 89.3066
40550 89.214
40600 89.383
40650 89.6034
40700 89.6622
40750 89.528
40800 89.4014
40850 89.1469
40900 89.0085
40950 88.9783
41000 88.893
41050 88.8876
41100 88.9468
41150 88.8837
41200 88.8575
41250 88.9743
41300 89.0988
41350 89.3201
41400 89.3154
41450 89.1109
41500 89.1042
41550 89.2744
41600 89.1935
41650 89.2749
41700 89.3339
41750 89.4402
41800 89.7226
41850 89.9671
41900 90.0363
41950 89.9988
42000 89.8292
42050 90.0695
42100 90.2053
42150 90.1948
42200 90.1963
42250 89.9874
42300 89.9602
42350 89.9718
42400 90.0266
42450 89.8073
42500 89.6785
42550 89.484
42600 89.483
42650 89.4154
42700 89.4916
42750 89.4728
42800 89.2553
42850 89.1054
42900 89.0067
42950 89.0149
43000 88.946
43050 88.9365
43100 89.0835
43150 89.142
43200 89.2101
43250 88.9529
43300 88.7855
43350 88.8565
43400 88.9033
43450 88.9707
43500 88.9984
43550 88.9796
43600 88.8805
43650 88.5772
43700 88.4963
43750 88.3978
43800 88.351
43850 88.5938
43900 88.6927
43950 88.6453
44000 88.3126
44050 88.2037
44100 88.1442
44150 88.0269
44200 88.1295
44250 88.2149
44300 88.2085
44350 88.1674
44400 88.1785
44450 88.1127
44500 88.0031
44550 87.8831
44600 87.7819
44650 87.7799
44700 87.8564
44750 87.9032
44800 87.6148
44850 87.4809
44900 87.2836
44950 87.3384
45000 87.5616
45050 87.5396
45100 87.4924
45150 87.5019
45200 87.3778
45250 87.6249
45300 87.6092
45350 87.6632
45400 87.4555
45450 87.6466
45500 87.812
45550 87.8289
45600 87.5425
45650 87.2667
45700 87.4003
45750 87.364
45800 87.4897
45850 87.5349
45900 87.6021
45950 87.4287
46000 87.2954
46050 87.2298
46100 87.1061
46150 87.1114
46200 86.9855
46250 86.923
46300 86.9071
46350 87.0292
46400 87.0784
46450 87.1875
46500 87.0102
46550 86.7221
46600 86.5313
46650 86.4191
46700 86.2792
46750 86.1215
46800 85.9245
46850 85.6952
46900 85.6244
46950 85.726
47000 85.5114
47050 85.3294
47100 84.9864
47150 84.9156
47200 84.7531
47250 84.6782
47300 84.572
47350 84.3881
47400 84.2877
47450 84.3583
47500 84.5046
47550 84.8226
47600 85.0074
47650 84.9852
47700 84.8465
47750 84.7993
47800 84.6944
47850 84.6938
47900 84.5579
47950 84.4226
48000 84.2042
48050 84.1576
48100 83.9859
48150 84.0525
48200 83.9636
48250 83.7441
48300 83.545
48350 83.4044
48400 83.5304
