# Chunk-averaged data for fix stress and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stpa[1] c_stpa[2] c_stpa[3] c_stpa[4] c_stpa[5] c_stpa[6]
5000 150 647.9999999999999
  55 -10.25 0 0 0 0 0 0 0
  56 -9.75 0 0 0 0 0 0 0
  57 -9.25 0 0 0 0 0 0 0
  58 -8.75 0 0 0 0 0 0 0
  59 -8.25 0 0 0 0 0 0 0
  60 -7.75 0 0 0 0 0 0 0
  61 -7.25 0 0 0 0 0 0 0
  62 -6.75 0 0 0 0 0 0 0
  63 -6.25 0 0 0 0 0 0 0
  64 -5.75 0 0 0 0 0 0 0
  65 -5.25 0 0 0 0 0 0 0
  66 -4.75 0 0 0 0 0 0 0
  67 -4.25 0 0 0 0 0 0 0
  68 -3.75 0 0 0 0 0 0 0
  69 -3.25 0 0 0 0 0 0 0
  70 -2.75 0.04 35842.1 354766 197610 48231.6 -356351 167925
  71 -2.25 1.28 81575.4 157484 -76343 112909 67338.3 66598.3
  72 -1.75 2.04 163969 172969 -63785.6 29272.4 41198.3 78102.9
  73 -1.25 5.48 5223.39 52249.1 -78197.4 20819.2 28650.8 56946.1
  74 -0.75 4.96 -30586.4 -12078.5 -32334.3 -29800.7 45284 51339.5
  75 -0.25 7.32 30064.8 -35481.4 57392.3 -25651.5 16319 -32377.9
  76 0.25 10.6 95920.9 84458.8 38641.5 69983.1 34480.6 64793.6
  77 0.75 12.88 574.545 45943.1 -74259.5 -109836 -6701.97 13321.3
  78 1.25 17.12 -73487.2 -831.105 -34131.5 -73881.5 13365.3 -5387.59
  79 1.75 19 188454 146449 37207.8 36571.6 -28335.3 -18904.3
  80 2.25 16.88 -45091.4 -88580 -58194.7 -29144 -38185.1 45128.4
  81 2.75 15.92 -102235 -106596 -43995.7 -21724.5 -21001.8 -53468.2
  82 3.25 16.16 13515.9 -61694.9 145611 41220.1 -23267.6 -52497.3
  83 3.75 16.16 98624.9 -17405.7 127320 10804.4 -49019.7 33482.6
  84 4.25 18.52 53856.4 8558.34 -64746.2 57355.8 -66505.5 -7579.04
  85 4.75 19.64 -73732 -69858.2 -62656.2 9574.55 9508.41 17687.3
  86 5.25 20.48 -60815.5 34025.8 16608.9 -16822.2 10300.3 -6772.46
  87 5.75 18.84 20590.4 -50992.8 25145.5 30348.9 29403.9 6813.43
  88 6.25 15.64 -34004.2 48812.7 -19419.9 -16598.1 37918 4523.44
  89 6.75 16.28 4813.4 4976.67 7800.86 -4895.15 15131.1 -66167.6
  90 7.25 13.84 23598.2 -130606 -19394.1 -36474.8 36547.6 32607.9
  91 7.75 16.6 14284.1 22069.5 48349.8 -1646.53 -27805 19902.9
  92 8.25 19.12 80524.3 -4305.44 -55848.3 -27149.6 34517.3 -10990.6
  93 8.75 18.48 14853.4 -9863.24 -30900.9 1167.57 27530.6 38016
  94 9.25 18.2 10539.8 -1451.63 -18780.1 20876.8 20859.3 -53310.9
  95 9.75 14.64 -15042.7 -32845.3 36994.6 13671.7 -94558.5 45999.7
  96 10.25 13.4 -5687.47 156832 84267.6 -13148.3 4499.39 -101135
  97 10.75 17.4 -49203.5 -61377.1 51549.3 -10118.3 -31759.4 -11922.9
  98 11.25 19.84 -43295.4 -38819.4 -27584.1 -23942.5 6812.25 26787.9
  99 11.75 20.88 51006.9 50083.2 -53094.8 26070.3 7118.81 8308.94
  100 12.25 16.92 -62410.3 -157109 -3407.48 14912.3 -49430.5 -24185.9
  101 12.75 16.12 71998.2 102529 38812.9 27820 40879.2 6053.71
  102 13.25 15.16 -81986.8 41944.3 -29114.6 -24320.6 -8601.31 26463.3
  103 13.75 16.76 -143093 -4509.21 1369.27 24731.4 -48622.7 -65315.3
  104 14.25 20.08 90617.5 1172.16 37748.4 -15306.8 18378.5 12518.6
  105 14.75 19.4 66.4339 -69743 -21706.5 21020.7 52537.1 11734
  106 15.25 19.96 -19958.6 -7365.18 -42367.7 -11764.9 -41793.8 -13025.3
  107 15.75 15.88 2030.56 5231.52 76634.3 -46085.5 -32035 -10853.5
  108 16.25 19.68 -11186.5 -8722.92 58162.9 -4363.9 40079.8 -118.754
  109 16.75 16.2 -826.7 106643 46512 -22964 15527.3 -59856.6
  110 17.25 15.84 1101.94 10068.9 -73026.2 -8904.01 -25490.8 30073.6
  111 17.75 14 44664 48284.2 -32521.5 -3621.24 69257.4 53992
  112 18.25 8.16 66246.3 83402.8 8477.46 2310.24 27138.6 90220.7
  113 18.75 3.36 149996 22063.2 -200219 -6937.28 121238 -32002
  114 19.25 1.96 -103606 68608.7 -57406.5 -31551.2 35043.2 108371
  115 19.75 0.68 171377 -7044.8 180690 -53257.7 -83713.3 148328
  116 20.25 0.2 314788 -78594.4 94438.2 5865.44 232381 116822
  117 20.75 0 0 0 0 0 0 0
  118 21.25 0 0 0 0 0 0 0
  119 21.75 0 0 0 0 0 0 0
  120 22.25 0 0 0 0 0 0 0
  121 22.75 0 0 0 0 0 0 0
  122 23.25 0 0 0 0 0 0 0
  123 23.75 0 0 0 0 0 0 0
  124 24.25 0 0 0 0 0 0 0
  125 24.75 0 0 0 0 0 0 0
  126 25.25 0 0 0 0 0 0 0
  127 25.75 0 0 0 0 0 0 0
  128 26.25 0 0 0 0 0 0 0
  129 26.75 0 0 0 0 0 0 0
  130 27.25 0 0 0 0 0 0 0
  131 27.75 0 0 0 0 0 0 0
  132 28.25 0 0 0 0 0 0 0
  133 28.75 0 0 0 0 0 0 0
  134 29.25 0 0 0 0 0 0 0
  135 29.75 0 0 0 0 0 0 0
  136 30.25 0 0 0 0 0 0 0
  137 30.75 0 0 0 0 0 0 0
  138 31.25 0 0 0 0 0 0 0
  139 31.75 0 0 0 0 0 0 0
  140 32.25 0 0 0 0 0 0 0
  141 32.75 0 0 0 0 0 0 0
  142 33.25 0 0 0 0 0 0 0
  143 33.75 0 0 0 0 0 0 0
  144 34.25 0 0 0 0 0 0 0
  145 34.75 0 0 0 0 0 0 0
  146 35.25 0 0 0 0 0 0 0
  147 35.75 0 0 0 0 0 0 0
  148 36.25 0 0 0 0 0 0 0
  149 36.75 0 0 0 0 0 0 0
  150 37.25 0 0 0 0 0 0 0
15000 150 647.9999999999998
  1 -37.25 0 0 0 0 0 0 0
  2 -36.75 0 0 0 0 0 0 0
  3 -36.25 0 0 0 0 0 0 0
